Team,Lat,Long,Color1,Color2
Arizona Cardinals,33.5275,-112.2625,#97233F,#000000
Atlanta Falcons,33.7575,-84.400833,#A71930,#000000
Baltimore Ravens,39.278056,-76.622778,#241773,#000000
Buffalo Bills,42.773611,-78.786944,#00338D,#C60C30
Carolina Panthers,35.225833,-80.852778,#0085CA,#000000
Chicago Bears,41.8625,-87.616667,#0B162A,#C83803
Cincinnati Bengals,39.095444,-84.516039,#000000,#FB4F14
Cleveland Browns,41.506111,-81.699444,#FB4F14,#22150C
Dallas Cowboys,32.747778,-97.092778,#002244,#B0B7BC
Denver Broncos,39.743889,-105.02,#FB4F14,#002244
Detroit Lions,42.34,-83.045556,#005A8B,#B0B7BC
Green Bay Packers,44.501389,-88.062222,#203731,#FFB612
Houston Texans,29.684722,-95.410833,#03202F,#A71930
Indianapolis Colts,39.760056,-86.163806,#FFFFFF,#002C5F
Jacksonville Jaguars,30.323889,-81.6375,#000000,#006778
Kansas City Chiefs,39.048889,-94.483889,#E31837,#FFB612
Los Angeles Chargers,33.864,-118.261,#0073CF,#002244
Los Angeles Rams,34.014167,-118.287778,#002244,#B3995D
Miami Dolphins,25.958056,-80.238889,#008E97,#F58220
Minnesota Vikings,44.973889,-93.258056,#4F2683,#FFC62F
New England Patriots,42.090944,-71.264344,#002244,#C60C30
New Orleans Saints,29.950833,-90.081111,#9F8958,#000000
New York Giants,40.91361,-74.074444,#0B2265,#A71930
New York Jets,40.813611,-74.074444,#203731,#FFFFFF
Oakland Raiders,37.751667,-122.200556,#A5ACAF,#000000
Philadelphia Eagles,39.900833,-75.1675,#004953,#A5ACAF
Pittsburgh Steelers,40.446667,-80.015833,#000000,#FFB612
San Francisco 49ers,37.403,-121.97,#AA0000,#B3995D
Seattle Seahawks,47.595278,-122.331667,#002244,#69BE28
Tampa Bay Buccaneers,27.975833,-82.503333,#D50A0A,#34302B
Tennessee Titans,36.166389,-86.771389,#002244,#4B92DB
Washington Redskins,38.907778,-76.864444,#773141,#FFB612
